기간	자치구	세대	인구	인구	인구	인구	인구	인구	인구	인구	인구	인구밀도	인구밀도	세대당인구	65세이상고령자
기간	자치구	세대	합계	합계	합계	한국인	한국인	한국인	등록외국인	등록외국인	등록외국인	인구밀도	인구밀도	세대당인구	65세이상고령자
기간	자치구	세대	계	남자	여자	계	남자	여자	계	남자	여자	인구밀도(명/㎢)	면적(㎢)	세대당인구	65세이상고령자
2015	용산구	107,512	247,909	121,027	126,882	233,342	113,177	120,165	14,567	7,850	6,717	-	-	2.17	35,715
2015	성동구	126,714	305,065	151,459	153,606	297,003	147,570	149,433	8,062	3,889	4,173	-	-	2.34	38,164
2015	광진구	158,353	375,180	183,436	191,744	360,369	176,884	183,485	14,811	6,552	8,259	-	-	2.28	40,368
2015	동대문구	159,941	373,824	185,827	187,997	360,153	180,485	179,668	13,671	5,342	8,329	-	-	2.25	52,490
2015	중랑구	176,390	418,620	208,393	210,227	413,909	206,505	207,404	4,711	1,888	2,823	-	-	2.35	54,095
2015	성북구	190,973	469,560	229,183	240,377	459,275	224,980	234,295	10,285	4,203	6,082	-	-	2.4	63,281
2015	강북구	141,088	334,426	164,337	170,089	330,873	162,967	167,906	3,553	1,370	2,183	-	-	2.35	52,598
2015	도봉구	136,903	353,241	173,804	179,437	351,242	173,029	178,213	1,999	775	1,224	-	-	2.57	48,590
2015	노원구	219,768	578,221	281,538	296,683	574,583	279,987	294,596	3,638	1,551	2,087	-	-	2.61	68,909
2015	은평구	203,410	502,578	244,964	257,614	497,920	242,975	254,945	4,658	1,989	2,669	-	-	2.45	69,753
2015	서대문구	135,770	323,105	156,130	166,975	312,141	152,008	160,133	10,964	4,122	6,842	-	-	2.3	46,758
2015	마포구	171,480	398,351	190,957	207,394	387,643	186,495	201,148	10,708	4,462	6,246	-	-	2.26	48,598
2015	양천구	179,512	489,010	242,074	246,936	484,532	239,995	244,537	4,478	2,079	2,399	-	-	2.7	50,398
2015	강서구	238,952	595,691	291,216	304,475	589,074	287,947	301,127	6,617	3,269	3,348	-	-	2.47	67,950
2015	구로구	172,321	454,604	228,201	226,403	422,092	210,440	211,652	32,512	17,761	14,751	-	-	2.45	53,719
2015	금천구	103,847	256,167	131,346	124,821	236,284	120,604	115,680	19,883	10,742	9,141	-	-	2.28	31,070
2015	영등포구	167,863	417,811	210,388	207,423	378,504	189,394	189,110	39,307	20,994	18,313	-	-	2.25	51,481
2015	동작구	170,495	412,774	202,165	210,609	400,641	196,463	204,178	12,133	5,702	6,431	-	-	2.35	53,610
2015	관악구	249,191	529,031	266,773	262,258	509,663	257,491	252,172	19,368	9,282	10,086	-	-	2.05	64,985
2015	서초구	173,007	451,258	217,036	234,222	446,764	214,737	232,027	4,494	2,299	2,195	-	-	2.58	49,280
2015	강남구	237,373	581,760	279,209	302,551	576,495	276,425	300,070	5,265	2,784	2,481	-	-	2.43	60,330
2015	송파구	256,611	667,480	325,950	341,530	660,302	322,441	337,861	7,178	3,509	3,669	-	-	2.57	68,292
2015	강동구	180,508	463,321	230,851	232,470	458,658	228,709	229,949	4,663	2,142	2,521	-	-	2.54	51,935
2016	합계	4,189,839	10,204,057	5,007,379	5,196,678	9,930,616	4,876,789	5,053,827	273,441	130,590	142,851	-	-	2.37	1,300,877
2016	종로구	72,118	161,922	79,322	82,600	152,737	75,201	77,536	9,185	4,121	5,064	-	-	2.12	25,091
2016	중구	59,651	134,409	66,452	67,957	125,249	62,204	63,045	9,160	4,248	4,912	-	-	2.1	20,606
2016	용산구	106,607	245,102	119,636	125,466	230,241	111,601	118,640	14,861	8,035	6,826	-	-	2.16	35,915
2016	성동구	128,727	307,161	152,006	155,155	299,259	148,326	150,933	7,902	3,680	4,222	-	-	2.32	39,262
2016	광진구	158,390	372,104	181,251	190,853	357,215	174,797	182,418	14,889	6,454	8,435	-	-	2.26	41,441
2016	동대문구	159,426	370,312	183,444	186,868	355,069	177,640	177,429	15,243	5,804	9,439	-	-	2.23	53,460
2016	중랑구	177,400	415,677	206,772	208,905	411,005	204,900	206,105	4,672	1,872	2,800	-	-	2.32	55,914
2016	성북구	188,304	461,617	224,504	237,113	450,355	219,951	230,404	11,262	4,553	6,709	-	-	2.39	64,015
2016	강북구	141,229	330,704	162,211	168,493	327,195	160,861	166,334	3,509	1,350	2,159	-	-	2.32	54,053
2016	도봉구	136,898	350,272	172,006	178,266	348,220	171,238	176,982	2,052	768	1,284	-	-	2.54	50,510
2016	노원구	219,736	571,212	277,866	293,346	567,581	276,333	291,248	3,631	1,533	2,098	-	-	2.58	70,887
2016	은평구	201,891	495,937	241,048	254,889	491,476	239,183	252,293	4,461	1,865	2,596	-	-	2.43	71,457
2016	서대문구	136,766	325,871	156,597	169,274	314,194	152,510	161,684	11,677	4,087	7,590	-	-	2.3	47,653
2016	마포구	169,432	390,887	186,668	204,219	379,892	182,162	197,730	10,995	4,506	6,489	-	-	2.24	48,303
2016	양천구	177,434	481,845	238,163	243,682	477,739	236,290	241,449	4,106	1,873	2,233	-	-	2.69	52,063
2016	강서구	245,045	602,104	293,734	308,370	595,485	290,478	305,007	6,619	3,256	3,363	-	-	2.43	71,062
2016	구로구	172,220	449,600	225,411	224,189	417,551	207,667	209,884	32,049	17,744	14,305	-	-	2.42	55,705
2016	금천구	104,483	254,654	130,429	124,225	235,386	119,885	115,501	19,268	10,544	8,724	-	-	2.25	32,279
2016	영등포구	165,729	406,779	204,712	202,067	370,613	185,200	185,413	36,166	19,512	16,654	-	-	2.24	51,844
2016	동작구	172,506	413,247	201,842	211,405	400,997	196,267	204,730	12,250	5,575	6,675	-	-	2.32	55,231
2016	관악구	251,955	525,607	265,034	260,573	506,851	256,143	250,708	18,756	8,891	9,865	-	-	2.01	66,952
2016	서초구	173,970	451,477	216,886	234,591	447,192	214,673	232,519	4,285	2,213	2,072	-	-	2.57	50,984
2016	강남구	234,080	572,140	274,217	297,923	567,115	271,604	295,511	5,025	2,613	2,412	-	-	2.42	61,931
2016	송파구	258,382	664,946	324,087	340,859	657,831	320,557	337,274	7,115	3,530	3,585	-	-	2.55	71,064
2016	강동구	177,460	448,471	223,081	225,390	444,168	221,118	223,050	4,303	1,963	2,340	-	-	2.5	53,195
