기관명,CCTV합계,2018년
강남구,5221.0,448.0
관악구,3985.0,671.0
구로구,3227.0,486.0
성북구,3003.0,643.0
은평구,2962.0,367.0
서초구,2835.0,396.0
양천구,2775.0,830.0
성동구,2679.0,294.0
영등포구,2495.0,793.0
서대문구,2121.0,194.0
용산구,2063.0,73.0
동대문구,2003.0,197.0
마포구,1935.0,195.0
노원구,1906.0,156.0
강동구,1879.0,385.0
동작구,1780.0,255.0
금천구,1634.0,530.0
강서구,1617.0,254.0
송파구,1586.0,396.0
광진구,1581.0,346.0
중구,1544.0,328.0
종로구,1471.0,101.0
강북구,1265.0,319.0
중랑구,1068.0,9.0
도봉구,858.0,71.0
